fund,volatility,avg_spread
Grawe Flex Bond Eur,0.021197753655448653,0.0
Grawe Global,0.13622392032892838,0.0
Innovo Status Balansiran,0.04077952124039015,-1.0937927262783469e-05
Innovo Status Solar,0.2472202767166543,0.0
KB Invest - Akcii,0.10174103097108661,0.0
KB Invest - Balanced,0.047230689439439776,0.0
KB Invest - Bonds,0.03946740610421046,0.0
KB Invest - MBI 10,0.09778432675045741,0.0
KB Invest - Zlaten Fond,0.22178839395787045,0.0
KB Invest Paricen,0.000984818302080751,0.0
NLB Amerika,0.07350797816562121,0.0
NLB BRIK,0.1310902073221541,0.0
NLB Cash Deposit,0.0005518371963634924,0.0
NLB Cash Fund,0.0011123863771877315,0.0
NLB Global Emerging Markets,0.10359786756718883,0.0
NLB South-East Europe,0.07677563472422817,0.0
NLB Top Brands,0.09346204779911432,0.0
VEGA CASH,0.00039350027339873396,0.0
VEGA FINANCE,0.139953400547007,0.0
VEGA TECHNOLOGY,0.24658479790494894,0.0
VEGA WORLD,0.1423542531653068,0.0
WVP BOND,0.03646471071468035,0.0
WVP Cash Deposit,0.08256612974328037,0.0
WVP Dividend Akcii,0.12615174875228055,0.0
WVP Etiks Akcii,0.11293751955471372,0.0
WVP Premium Akcii,0.12231679854178468,0.0
